Question,Answer,Link
"i completed all of my LD ge and i have passed the wst. i currently have fewer than 60 units completed and i would like to register for sjsu studies (areas r, s, v, & z) courses requiring upper division standing, but mysjsu says i do not meet the requirements. how do i register for these courses?","Students who have been matriculated at SJSU for at least one semester, who have fewer than 60 units completed at the time of registration, and would like to register for SJSU Studies courses requiring upper division standing will need to file a petition. Students will need to submit the Petition to Enroll in SJSU Studies with Fewer Than 60 Units, obtain major advisor or Department Chair's signature before submitting the petition to Undergraduate Studies. If approved, students are eligible to enroll in SJSU Studies no earlier than the first day of classes. Enrollment is not guaranteed.",
what are sjsu studies courses?,"SJSU Studies courses (Area R, S, V, & Z) are Advanced/Upper Division GE courses taken after the Writing Skills Test (WST) is passed. Students must have at least sixty earned units and passed the WST in order to take any SJSU Studies Course.",
can you waived the 100w course?,"The 100W course can be waived for a few major if a student scored 11 or 12 on their WST, completed GWAR requirement at another CSU school or file a Written Communication II petition and it was approved.",
how can i find out if the course i took at another college transfers to sjsu?,"Students can visit SJSU Articulation for complete listings of articulated courses from other colleges. In addition, students may also visit Assist for California Community College.",
"i took a LD (ld) ge course at a community college or 4 year school and it did not transfer to sjsu as ge, but i would like to petition the course for ld ge credit, what form would i use?",Students who have taken a course that satisfies a specific GE requirement(s) but is not currently articulated will need to file CORE GE Equivalent Course petition.,
"i took an USn institutions (us 1, us 2, us3) course at another college, but the course did not articulate, what form should i use?",Students should use the American Institutions Equivalent Course petition. Student will need to submit the petition to the Chair of History or Political Science for review before submitting the petition to Undergraduate Studies.,
"i took an upper division ge course at another csu, but the course did not articulate when i transferred, what form should i use?",Students should use the SJSU Studies Equivalent Course petition. Student will need to submit this petition to their college advising center for review before submitting it to Undergraduate Studies.,
can i take courses at another college while attending sjsu?,"Yes, students can take courses at other colleges while matriculated at SJSU. Student should meet with a SJSU advisor before taking such courses.",
how do i transfer credits from another institution to sjsu?,Submit Official Transcripts to the Admissions Office from the other school. Admissions is located in the first floor of the Student Services Center.,
i failed a course at sjsu can i retake it at a community college?,"Yes, students can courses at other schools. Students will not received Grade Forgiveness if the course was taken at another school, both attempts need to be from the same institution. ",
do i have to take the WST?,"All CSU students must meet the California Graduate Writing Assessment Requirement (GWAR) as part of their degree requirements. At SJSU, for first baccalaureate students, successful completion of the GWAR means: 1) passing the WST and then 2) passing 100W. At SJSU, all first baccalaureate students must pass the WST as a pre-requisite for 100W and SJSU Studies (Advanced GE) courses (Areas R, S, V, and Z).",
what happens to me if i do not pass the wst?,"You will not be able to take the SJSU Studies courses. If you fail the WST once, it is recommended to take LLD 100A or ENGL 100A. Failure to pass the WST will delay your graduation.  You can only take your required 100W course after you pass the WST.  Many majors require the successful completion of 100W course before taking any upper division coursework in the major.",
when should i take the wst?,You should take the WST immediately after successfully completing GE Area A3 or second semester composition course.,
do i have to be reinstated to the major i was disqualified from?,"Students can be reinstated into a particular major.  Students may request their original SJSU or another major, based on their transfer work.  It will be up to the department to reinstate a student into a particular major.  In some cases, it might be more appropriate to reinstate a student to Undeclared in Academic Advising & Retention Services.",
do i need to complete a reinstatement petition even though i was not disqualified from sjsu?,"Students who ""stopped out"" on Probation or in Good Standing only need the FSR petition and not a Reinstatement petition.  ",
"i completed my reinstatement petition, is there any other form i need to complete?","Yes, an approved Reinstatement petition is a prerequisite for submitting and approved Re-Admission Petition as a Former Student Returning to SJSU (FSR). ",
when do i have to reapply to sjsu?,Students need to reapply to SJSU if they stop attending SJSU for two or more consecutive semester or following an approved reinstatement.,
"my reinstatement and fsr form were approved, i have over 60 unit but i have not completed my basic four skills (area a1, a2, a3, & b4) requirement. can i apply for admissions through cal state apply?","In order to be eligible for “Readmission after Disqualification”, students must have satisfied GE Areas A1, A2, A3, and B4 (also known as the basic four skills), earned 60 or more units, have an All College GPA of 2.0 or better, must be reinstated if in DQ academic standing and have an approved FSR by it's deadline (Jan. 15 for next Fall (re)admissions; Sep. 30 for next Spring (re)admissions. ",
what gpa determines my academic standing?,"SJSU Cum GPA determines Academic Standing (e.g., Good Standing, Probation, or DQ); All College GPA determines (re)admission.  ",
i walked does that mean i graduated?,Participating in a convocation ceremony DOES NOT equal to graduating from SJSU. Only when a degree is confirmed and posted on a student's record does a student official graduate from SJSU.,
how will i be notified if i have officially graduated?,Students can see their status by viewing their Unofficial Transcript. Official proof of graduation is the student's official transcript. Only when a degree is confirmed and posted on a student's record does a student official graduate from SJSU.,
i completed all major and university requirements and believed that i graduated but my records shows as not graduated. whom should i contact regarding this?,"Student should contact the Registrar’s Office to verify they have completed all the requirements. If all requirements were complete by the expected graduation date, student's degree will be posted. Otherwise, a student will need to file a Backdate of Degree form.",
how do i change/add my major/minor?,Students will need to complete and file a request for a Change of Major or Minor from the Registrar’s Office. Students will need to obtain signatures from the desired major or minor department before submitting the completed form to the Registrar’s Office.,
"my request to change/add a major/minor was denied, what could i do?",Students can appeal such decisions under Presidential Directive 2009-05. Petition can be found under UGS forms and petitions page.,
how do i drop my minor?,Student needs only to write a statement wishing to drop minor. Statement should be signed by student and dropped off to the Registrar's Office.,
can undergraduate students apply for graduation and graduate from OU (ou) status?,"Yes, it is possible to apply for graduation and complete degree requirements through Open University (OU) without ever getting (re)admitted UNLESS there are supervised courses remaining because OU students may not enroll in supervised courses.  Applications for graduation are only accepted from students on Probation or in Good Standing (not from DQ'd students) and must have been matriculated at SJSU for at least one semester. Students in ""Disqualified"" academic standing must be reinstated before applying for graduation.",
"i have eared more than 24 OU units, what can i do to have them count towards by degree requirements?","CSU Rules permit a maximum of 24 UE through OU to count toward the minium 120 UE needed for a baccalaureate degree.  But, there is no limit on the number of OU units that can be approved by petition; if all other requirements for graduation have been met, then the Associate Dean of UGS or the Registrar can approved excess units needed to satisfy residency, baccalaureate requirements, or upper division credit.  ",
what is a special major?,The Special Major is an individually designed course of study leading to a BA or BS degree when academic professional aims are not adequately accommodated by existing university-level SJSU undergraduate degree majors. The purpose of the Special Major is to give a student with a definite educational objective the opportunity to accomplish that goal. The Special Major Guidelines provide specific information about how to apply for the program.,
"what is considered ""good academic standing?""","SJSU requires at least a GPA is 2.0 or more. However, certain majors may require a higher GPA minimum to remain in the respective major.",
when would i be considered to be on academic probation?,"Upon conclusion of a term in which a student’s SJSU cumulative GPA becomes lower than 2.0, they will be placed on academic probation.",
when would i be removed from academic probation?,Upon conclusion of a term in which a student's SJSU cumulative GPA rises to at least 2.0,
"what's the difference between my sjsu gpa and my ""all college"" gpa?","SJSU GPA is calculated strictly SJSU while all college GPA is cumulative from all colleges, such as SJSU, community colleges, 4 year institutions.",
can i graduate while on probation?,"No. A student may not graduate while being classified as on-probation, regardless of their progress on all of their other requirements. For example, if you have finished all of your GE, major, and (if applicable) minor requirements, but currently have an SJSU cumulative GPA of 1.8, you will not be permitted to graduate.",
"i was placed on administrative-academic probation, or probation within my major. are there different types of probation?","There are three types of probation: academic probation, administrative-academic probation, and probation within a major.",
when should i apply for graduation?,It is typically preferable to apply for graduation when you have reached the minimum threshold of 90 units. You should meet your major advisor and a GE advisor to ensure that you are eligible for graduation.,
how do i apply for graduation?,"To file for graduation, a student must submit an application for graduation, which can be found here. For a walkthrough, follow here for the H&A Student Success Center's outline of the process.",http://www.sjsu.edu/registrar/docs/grad_app.pdf
how to change my graduation date?,You will the required signatures from your major advisor and fill out the details on the graduation date change form found here. Please note that you will be required to pay a non-refundable $10 fee for changing your graduation date.,http://www.sjsu.edu/registrar/docs/grad_change.pdf
when’s my enrollment date?,Navigate to your MYSJSU account and click the enrollment date tab on the right hand side of the site.,
how do i drop a class?,"Access your class via MySJSU, and proceed to your enrollment tab. Specify the term you are taking the class for, click the drop tab and select the class you wish to drop. Student may only drop classes without a W before the drop deadline. If you are dropping a class after the deadline, refer here.",http://www.sjsu.edu/aars/policies/latedrops/
does the waitlist carry over on the first day of instruction?,"The waitlist only applies to advanced registration, and does not carry over to the first day of class. To register for a class on the first day of instruction, you must contact the instructor of the course directly.",
am i automatically dropped after first day or second day of class if i don’t attend?,"No. It is the student’s responsibility, not the responsibility of the professor to drop the class if they do not plan to attend.",
"how many units do i need to be considered ""full time?""",Full-time undergraduate students are considered students that are enrolled in 12.0 or more units in the current term. Refer to the Office of the Registar's chart on enrollment status.,
how to apply for leave of absence?,Students are allowed to be absent and not register for classes for one semester with no documentations required. Students planning to leave for two or more semesters will be required to fill out a Leave of Absence Petition. Students petitioning for leave through this method will be allowed a maximum of four semesters on-leave. A Leave Request must be submitted prior to the first semester that the student intends to be absent.,
how does grade forgiveness work?,"Grade forgiveness is permitted only in courses where the grade earned was lower than a ""C,"" or others such as ""WU,"" or ""IC."" ""NC,""  and courses where the grade received was the result of documented academic dishonesty is not eligible for grade forgiveness. In addition, the prior grade earned will remain on the transcript, and grade forgiveness that results in a higher GPA will not remove a prior academic standing, such as probation or disqualification.",
how do i transfer my credits to sjsu from an inside institution?,"Contact the school which you wish to transfer courses from and request them to send a transcript to SJSU. If you do not have transcripts on file with SJSU that verify the courses you wish to transfer, you need to send original transcripts to GAPE",
can i take community college courses while i'm here at sjsu?,Yes. Students may be enrolled and attending classes concurrently in a community college while attending classes at SJSU.,
how many units can i transfer to sjsu?,"Students may transfer up to 70 units outside of SJSU to SJSU from a 2-year institution, like a community college. Students may transfer an unlimited amount of units from a 4-year institution, like another CSU, UC, or other private 4-year university.",
how do i apply for financial aid?,Complete the Free Application for Federal Student Aid (FAFSA) or the CA Dream Act Application. The priority filing deadline date is March 2. The school code for SJSU is 001155.,
do i have to be enrolled full time to receive financial aid?,"Most aid requires at least half-time enrollment (6 units for undergrad/post-baccalaureate/credential students, and 4 units for graduate students). However, because financial aid is awarded based on full-time enrollment, students must notify the Financial Aid and Scholarship Office if enrolled less than full-time by submitting the Student Information Update Form.",
"i completed a fafsa or dream act application, what is the next step?",Periodically view your MySJSU for document(s) that will appear on the To Do List. View Seven Steps to Financial Aid for details on the financial aid process at SJSU.,
can i fax or email the financial aid documents?,The Financial Aid and Scholarship Office cannot accept faxed or emailed documents. Documents must be submitted in person or mailed. ,
when will i receive an award notification?,"The evaluation process begins when all required financial aid documents are received. Check your To Do items to see if additional documentation is needed. The evaluation process can take approximately 4-8 weeks, depending on the volume of applications received. When the evaluation process is completed, an award notification will be sent to your MySJSU.",
i completed the dream act application. what am i eligible to receive?,"You may qualify for state aid, such as Cal Grant, State University Grant, and EOP grant. For additional grant criteria, view types of aid.",
do i qualify for the dream act?,"To qualify, you must be considered as an AB540 student. View CSAC for additional application criteria.",
what is a tuition fee deferral?,The tuition fee deferral protects course enrollment and delays the payment of tuition fees. The tuition fee deferral is temporary and is removed at the beginning of the semester. The purpose of the tuition fee deferral is to allow financial aid to disburse and apply towards fees.,
how do i get a tuition fee deferral?,Tuition fee deferrals are automatically assigned to a student's MySJSU once all requested financial aid documents are received and file noted as complete. View Important Announcements and Deadline Dates for document submission deadline. ,
does the tuition fee deferral apply to housing fees?,The financial aid tuition fee deferral does not defer housing fees. Students should contact a University Housing Services representative for payment information.,
hat happens after the tuition fee deferral is removed?,"Once the tuition fee deferral is removed, students are responsible for paying all fees by the posted deadline date, regardless of his/her financial aid status. The Bursar's Office will automatically drop course enrollment if fees are not paid by the posted deadline date.",
how do i know if i have a tuition fee deferral on mysjsu?,"The tuition fee deferral is viewed under ""Other Indicators"" located on the right hand side of the Student Center page on MySJSU. Select  ""Details"" to view the semester that corresponds to your tuition fee deferral.",
i will be a new student in the fall. can i receive aid for summer classes before the fall term begins?,New students who are admitted for fall are not eligible for aid for the previous summer term.,
who is eligible to receive summer aid?,Students who have been awarded financial aid at SJSU for the current academic year are eligible to apply for summer aid. Students must be enrolled at least half-time: 6 units undergrad/post-baccalaureate/credential; or 4 units graduate. ,
how do i apply/request summer aid?,"Upon registering for summer courses, students must consult with a financial aid representative to determine summer aid eligibility. View Summer Financial Aid for additional information",
when will my summer financial aid disburse?,"For eligible students, aid is disbursed after the second week of the summer session.",
i will be taking courses at a community college and attending sjsu at the same time. can the combined units count as full time at sjsu?,Combined units may be considered under cross-enrollment. Students must be enrolled in at least 6 units at San Jose State University to be considered for cross-enrollment. Approval from the Office of the Registrar is required. View Office of the Registrar website for more information on cross-enrollment requirements.,
can i receive aid from two schools at the same time?,"No. Due to federal regulations, students cannot receive aid from more than one college during the same period of enrollment.",
is financial aid available for winter session?,Financial aid is not available for winter session. Students are responsible for paying all fees by the posted due date.,
will my financial aid pay my tuition and housing fees?,"Tuition, fees, housing, book charges, short-term loans, etc. will automatically be deducted from financial aid.  If the financial aid a student receives is not sufficient to cover the full amount of fees due, the remaining balance is the responsibility of the student and must be paid by the posted due date.",
what if i receive additional funds from another source?,"Federal regulations require that all sources of financial aid, including any outside scholarships, grants, stipends, or vocational rehabilitation benefits be taken into consideration. Financial aid may be adjusted to reflect any additional sources of montetary aid. Report any additional sources of aid by completing the Student Information Update form.",
how do i sign up for direct deposit?,Click on Enroll in Direct Deposit located under the finance section of MySJSU.,
how can i give my parents or spouse access to my financial aid information?,The Student Authorization to Release Information form authorizes SJSU Financial Aid and Scholarship Office to discuss and/or release financial aid information to the person(s) you designate. The form MUST be completed every academic year and MUST be submitted in person. Students will be asked to show valid ID when submitting the form.,
when will my financial aid disburse?,Disbursement begins the first week of each semester and continues on a weekly basis.,
will i receive my financial aid all at once?,"Financial aid is awarded based on the academic year, and is equally divided into two semesters (fall and spring), unless otherwise specified.  Aid for the semester is disbursed all at once. View Seven Steps to Financial Aid, refer to steps #5 and #6, for reasons why aid has not disbursed.",
why hasn't my financial aid disbursed?,"Since financial aid is awarded based on full-time enrollment (12 units undergraduate; 8 units graduate), aid will not automatically disburse if a student is enrolled in less than full-time units. Students must inform the Financial Aid and Scholarship Office of their enrollment status by completing the Student Information Update form.",
what if i change the number of units enrolled after receiving my financial aid award?,"If you receive aid and then drop units, you may be required to repay a portion of the funds. The repayment amount will be determined after the add/drop period has ended. Students should periodically view their MySJSU for payment notices. ",
what if i am not eligible for financial aid?,"If a financial aid representative determines that you are not eligible for financial aid, you will be responsible for paying your tuition fees by the fee due date or you will be subject to enrollment cancellation. You may contact the Bursar's Office for payment arrangements.",
am i eligible for aid if i am enrolled in OU?,Open University students are not eligible for federal or state aid.,
who completes the canvas reflection on college writing?,"All entering freshmen complete the Reflection on College Writing to explore their writing requirements and options prior to registration.  Freshmen will also produce the writing they will need to assemble their first SJSU writing portfolio, a requirement in all composition classes.",
do i need to do the reflection on college writing if i have already satisfied english 1a?,"All entering freshmen complete the Reflection on College Writing to explore SJSU writing requirements and options, and to build an entry-level writing portfolio.",
do i need to do the reflection on college writing if i have been invited to the humanities program?,"All entering freshmen complete the Reflection on College Writing to explore SJSU writing requirements and options, and to build an entry-level writing portfolio.",
when can i begin the canvas reflection?,"For Spring 2020 enrollees, The Reflection on College Writing course opens on Nov 11th.",
what if i am waiting to find out if i have credit by examination for entry-level college writing?,"If you are waiting for test scores (AP, IB, CLEP), you can still complete the Reflection on College Writing and register your choice, given what you learn about your capacity to respond to the college reading and writing tasks. Later, if your test scores earn you credit, you can adjust your choice at registration.",
how do i complete the reflection in canvas?,There are 10 points to be earned in the Reflection exercises. Several of these points you earn as you complete the auto-scored surveys. But three of the points are manually scored as our facilitator checks your writing submissions to make sure the texts you have entered are readable.,
how do i know how many points i have earned in the reflection on college writing,"You can check your grade report in a Canvas course by clicking ""Grades"" in the course menu. If you see 10 points in the Reflection grade report, you are good to go",
do i have to complete all five reflection on college writing assignments at one time?,No. You can complete the assignments at your own pace over a series of days – or in one day if you wish. Canvas allows you to log on and off as you work to complete a course. ,
how long does it take to complete the canvas reflection on college writing?,The reading and writing assignments and the self-reflection surveys can be done in three hours. We recommend you work at a comfortable pace. One of your goals in this exercise is to accurately gauge the time you will need to make available in your schedule to succeed in college writing courses.,
what is the cost of the reflection on college writing?,he Canvas Reflection course is free of charge.,
can i come to campus to complete the reflection on college writing?,"Students who need access to a computer can come to campus to complete the Reflection assignments in Canvas. Please contact Student Computing Services to arrange for access to a computer. The service is located on the 4th floor of the King Library. Bring your SJSU ID number and a photo ID with you. Computers are available on a first come, first served basis. ",
how are sparta camp and the reflection on college writing related?,"In summer, registration takes place during Sparta Camp. That is why we set up the Table of Reflection Deadlines to correspond with Sparta Camp dates. All students must complete the Reflection by the date indicated in the Table of Reflection Deadlines. Completing work by the deadline ensures that you have the information you need to make a course selection. It also ensures that you will be cleared of the prerequisite for entry-level writing courses in the system.",
what happens if i don't complete the reflection before sparta camp orientation?,"There are two consequences to not completing this work: You will not be prepared to produce your first SJSU writing portfolio during the first week of your writing course. You may not have the prerequisite you need to enroll. If you are trying to enroll in either English 1A or English 1AF, the computer will block your enrollment until you have the prerequisite done.",
what is an advisor and how do i find one,"Most students have three advisors: a major advisor, a minor advisor (if you're completing a minor), and a General Education advisor.  The list of major advisors is available outside HGH 112 and on the undergraduate advisors page.  You choose your advisor.  If possible, meet with the same advisor each time.",
what should i bring with me to the meeting with my major advisor?,"Bring your laptop, smartphone, or other device that allows you to access your transcripts and degree progress report on MySJSU. In addition, bring your list of questions.",
what courses do i need to take for the communication studies major?,"Core Courses: COMM 101C (pre/corequisite for COMM 198 and 199C), COMM 198, and COMM 199C. Foundations • Inquiry • Practice Courses: Two courses from each area. Additional Courses: 8 units of electives in Communication Studies (may be upper- or lower-division)",
what additional courses should i take in the major?,"The department offers a wide variety of courses.  Identify your own interests, needs, and learning objectives as a basis for choosing your 8 units of additional courses. Meet with your advisor to help you select courses that best fit your educational and professional goals. These courses may be lower- or upper-division. ",
what is a LD course? what is an upper-division course?,"Any course you've taken at a community college is a lower-division course. At SJSU, any course numbered below 100 is lower-division and any course numbered 100 and above is upper-division. Community colleges never offer upper-division courses.",
can i count my community college communication courses toward the electives for the major?,"Yes, if it is a college-level course in communication studies, speech communication, or communication.  Consult with your advisor to determine if you can count a community college course toward your COMM major at SJSU.  You may count up to 8 units of lower division courses as additional courses toward your program of study.  You may not double count lower-division communication courses used to satisfy your Core GE requirements toward the major. ",
can i count a course taken at another university or college as a core course for the major?,Bring a course description (copied from the catalog of the school you previously attended) and/or syllabus and documentation showing the course was transferred.  Your advisor will determine whether it is the equivalent of one of our courses.  Note that core courses in the major are upper-division; upper-division courses must transfer in from a four-year school and be considered upper-division or junior/senior level at that school.),
is there a required minimum grade for a course to count toward the major?,"""D-"" is the lowest passing grade.  Sometimes, as with GE Basic Skills and SJSU Studies courses, you must earn a ""C-"" or better to meet the GE requirement, even though you pass the class with a lower grade.  You must have an overall 2.0 GPA and a 2.0 in the major to be eligible to graduate.",
how many cr/nc classes can i count toward the major?,No more than 6 units.,
what is double counting and can i do it?,"Double counting is when you use one course to count for both SJSU Studies and the major. You may double count up to 6 units of SJSU Studies courses (currently COMM 100W, 157/157SL, 168A/B, 174, 179) toward the major. You may not double count any Core GE (lower division) courses.",
what is a flag or hold and how do i get it removed?,"A flag is a registration hold put on your records.  The flag is placed on your records at the time of transfer.  You must meet with a major advisor before your second semester at the University.  At this meeting, your advisor will give you a form to turn in to the department office (HGH 108) to have your flag removed. Failure to meet with an advisor and remove the flag will prevent you from being able to register for classes in the next semester.",
do i have to complete a minor?,"No, you do not need to complete a minor. For the minor, you work with an advisor in in a department outside of Communication Studies to determine the courses you need to take. If you complete a minor, you will have your advising and your forms approved in that department (not in Communication Studies). If a minor in another department requires fewer than 18 units (e.g., Business requires 15 units), make sure you meet the 120 units total for the University baccalaureate requirements. ",
how do i find out what i need to do for my ge requirements?,"There are two kinds of General Education requirements: Basic Skills (lower division, often taken at a community college, also called Core GE) and SJSU Studies (also called Advanced GE or upper-division GE). ",
what does it cost to go to sjsu?, The most current information is on the bursar's web page.,http://www.sjsu.edu/bursar/fees_due_dates/tuition_fees/index.html
i work during the day. can i obtain the mscs degree while working?,"We try to offer graduate courses in the late afternoons and evenings or early in the morning. Occasionally, you may have to take a course during the day; hopefully your employer will help by allowing you to flex your schedule. You have up to 7 years (!) to finish the degree, although we naturally don't recommend that you actually take that long. Many of our students are professionals who obtain the MS degree while working full-time.
                     ",
i have been in california for x months/years. am i entitled to in-state tuition?, Please check the web-based SJSU Catalog for more information.,http://info.sjsu.edu/home/catalog.html
"i don't have a degree in computer science, can i be admitted?"," If your degree is in a related discipline (such as Information Systems), and there is space in the program, you may be be admitted conditionally, with a few extra prerequisite course requirements. If your degree is in an unrelated field, and there is space in the program, you may be asked to complete most or all undergraduate CS core courses.
                     ",
i am an F1 student. is there additional information available?, The International Programs and Student Services.       ,/depts/ipss/
what form of financial assistance is available from the department?,"Unfortunately, financial assistance is very limited. The department does not offer full scholarships or tuition waivers. A very limited number of teaching associate, grader and lab monitor positions are available. However, these positions are not usually open to incoming students. The salary for these positions is not high, and you should not rely on them for financial support.
                     ",
"what is ""OU""?"," ""Open University,"" or ""Continuing Education"" at SJSU allows individuals that are not registered in a degree program to take university courses. There are a number of restrictions.
                     ",
what are the application deadlines?," Please see Admission Deadlines for up-to-date information about deadlines.
                     ",*** Broken d:499306 http://www.sjsu.edu/gape/prospective_students/deadlines/ ***
do you accept incomplete applications?," International applicants have a month after the application deadline to submit letters
                        of recommendations.
                     ",
can you mail me the application materials?," No. You must apply to the university through the online web site ( http://www.csumentor.edu). If you cannot apply on line due to a slow connection, then write to the Graduate Admissions and Program Evaluations Office, explain why you cannot apply on line, and ask for a ""paper application form."" .
                     ",http://www.csumentor.edu/
what is the GAPEs office?," The Graduate Admissions and Program Evaluations office administers all graduate admissions. It checks that your applications fulfill the minimum university criteria for admission. It checks your transcripts, degree certificates, TOEFL scores, visa status, and financial information. Once Graduate Admissions is satisfied that you are qualified to join the <span class=""null3"">university, then it forwards your file to the <span class=""null3"">department. In the CS department, we check your qualifications for the master's program in computer science. Graduate Admissions determines if you can be admitted to hte University; if you are, then the Computer Science Department decides whether to admit you to the MSCS program.
                     ",/gape
where should i mail my application materials?," The application fee, official transcripts, degree certificates, TOEFL scores, visa and financial information, all go to Graduate Admissions and Program Evaluations office.
                     ",/gape
what are the application fees?," Please visit the Prospective Students page for the current university application fees.
                     ",http://www.sjsu.edu/gape/prospective_students/
can you to look over my application before i submit it?,"I can't help you with putting together your application. Simply submit your application and supply the requested information. If we have questions after receiving your application, we will contact you. It is important that you supply a current email address for that purpose.
                     ",
"i need to know now whether you will accept me later, so that i can decide whether
                        i should try applying at a different department or university."," Unfortunately, we cannot give you a guarantee now that we will admit you later. It
                        is always a good idea to apply at more than one university.
                     ",
